"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Rolim de Moura (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Santa Luzia D'Oeste (RO)";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Vilhena (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"São Miguel do Guaporé (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Nova Mamoré (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Alvorada D'Oeste (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Alto Alegre dos Parecis (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Alto Paraíso (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Buritis (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Novo Horizonte do Oeste (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Cacaulândia (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Campo Novo de Rondônia (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Candeias do Jamari (RO)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Castanheiras (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Chupinguaia (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Cujubim (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Governador Jorge Teixeira (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-"
"Itapuã do Oeste (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-"
"Ministro Andreazza (RO)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Mirante da Serra (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Monte Negro (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Nova União (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Parecis (RO)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Pimenteiras do Oeste (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Primavera de Rondônia (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Felipe D'Oeste (RO)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"São Francisco do Guaporé (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-"
"Seringueiras (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Teixeirópolis (RO)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Theobroma (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Urupá (RO)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Vale do Anari (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Vale do Paraíso (RO)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Acrelândia (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Assis Brasil (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Brasiléia (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Bujari (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Capixaba (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Cruzeiro do Sul (AC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Epitaciolândia (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Feijó (AC)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Jordão (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Mâncio Lima (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Manoel Urbano (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Marechal Thaumaturgo (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Plácido de Castro (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Porto Walter (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Rio Branco (AC)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Rodrigues Alves (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Santa Rosa do Purus (AC)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Senador Guiomard (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Sena Madureira (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tarauacá (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Xapuri (AC)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Porto Acre (AC)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Alvarães (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Amaturá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Anamã (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Anori (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Apuí (AM)";"1";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Atalaia do Norte (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Autazes (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Barcelos (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Barreirinha (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Benjamin Constant (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Beruri (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Boa Vista do Ramos (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"1";"1"
"Boca do Acre (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Borba (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Caapiranga (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Canutama (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"-"
"Carauari (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Careiro (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Careiro da Várzea (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-"
"Coari (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Codajás (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Eirunepé (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Envira (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Fonte Boa (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Guajará (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Humaitá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Ipixuna (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Iranduba (AM)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Itacoatiara (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Itamarati (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Itapiranga (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Japurá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1"
"Juruá (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-"
"Jutaí (AM)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Lábrea (AM)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Manacapuru (AM)";"1";"1";"1";"-";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"-";"1";"-";"-";"-"
