"Tabela 1364 - Número de municípios, total e os com serviço de abastecimento de água, por tipo de tratamento da água"
"Variável - Municípios com serviço de abastecimento de água por rede geral de distribuição (Unidades)"
"Brasil, Unidade da Federação e Município";"Ano x Existência e tipo de tratamento da água"
"Brasil, Unidade da Federação e Município";"2000";;;;;;;;"2008";;;;;;;;"2017"
"Brasil, Unidade da Federação e Município";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento";"Total geral de municípios";"Total de municípios abastecidos";"Total de municípios com tratamento";"Convencional";"Não-convencional";"Simples desinfecção (cloração e outros)";"Fluoretação";"Sem tratamento"
"Serrania (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Serranópolis de Minas (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Serranos (MG)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Serro (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Sete Lagoas (MG)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Silveirânia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Silvianópolis (MG)";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Simão Pereira (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1"
"Simonésia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Sobrália (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Soledade de Minas (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tabuleiro (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Taiobeiras (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Taparuba (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"-";"-"
"Tapira (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Tapiraí (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Taquaraçu de Minas (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Tarumirim (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Teixeiras (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Teófilo Otoni (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Timóteo (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Tiradentes (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Tiros (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Tocantins (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Tocos do Moji (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Toledo (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Tombos (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Três Corações (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Três Marias (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Três Pontas (MG)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Tumiritinga (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Tupaciguara (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Turmalina (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Turvolândia (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ubá (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ubaí (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Ubaporanga (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Uberaba (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Uberlândia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Umburatiba (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Unaí (MG)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"União de Minas (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Uruana de Minas (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Urucânia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Urucuia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vargem Alegre (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vargem Bonita (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Vargem Grande do Rio Pardo (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Varginha (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Varjão de Minas (MG)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Várzea da Palma (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Varzelândia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Vazante (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Verdelândia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Veredinha (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-"
"Veríssimo (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Vermelho Novo (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vespasiano (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Viçosa (MG)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Vieiras (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Mathias Lobato (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Virgem da Lapa (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Virgínia (MG)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"-"
"Virginópolis (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Virgolândia (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Visconde do Rio Branco (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"-";"-";"1";"1";"-"
"Volta Grande (MG)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Wenceslau Braz (MG)";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"-";"-";"1";"-"
"Afonso Cláudio (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Águia Branca (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Água Doce do Norte (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Alegre (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Alfredo Chaves (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Alto Rio Novo (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Anchieta (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Apiacá (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Aracruz (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Atílio Vivácqua (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Baixo Guandu (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Barra de São Francisco (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Boa Esperança (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Bom Jesus do Norte (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Brejetuba (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Cachoeiro de Itapemirim (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Cariacica (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Castelo (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Colatina (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Conceição da Barra (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Conceição do Castelo (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Divino de São Lourenço (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Domingos Martins (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Dores do Rio Preto (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ecoporanga (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Fundão (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Governador Lindenberg (ES)";"...";"...";"...";"...";"...";"...";"...";"...";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Guaçuí (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Guarapari (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Ibatiba (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Ibiraçu (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Ibitirama (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-"
"Iconha (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Irupi (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Itaguaçu (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Itapemirim (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Itarana (ES)";"1";"1";"1";"-";"1";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Iúna (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Jaguaré (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Jerônimo Monteiro (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"João Neiva (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"-";"-";"1";"-"
"Laranja da Terra (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Linhares (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Mantenópolis (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-"
"Marataízes (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Marechal Floriano (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Marilândia (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Mimoso do Sul (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Montanha (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Mucurici (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Muniz Freire (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Muqui (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Nova Venécia (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Pancas (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Pedro Canário (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Pinheiros (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Piúma (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Ponto Belo (ES)";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Presidente Kennedy (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"Rio Bananal (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Rio Novo do Sul (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Santa Leopoldina (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-"
"Santa Maria de Jetibá (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Santa Teresa (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São Domingos do Norte (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São Gabriel da Palha (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"São José do Calçado (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-"
"São Mateus (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"São Roque do Canaã (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"-";"1";"1";"1";"-"
"Serra (ES)";"1";"1";"1";"-";"1";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Sooretama (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Vargem Alta (ES)";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Venda Nova do Imigrante (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Viana (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Vila Pavão (ES)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vila Valério (ES)";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vila Velha (ES)";"1";"1";"1";"1";"1";"1";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Vitória (ES)";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Angra dos Reis (RJ)";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"-";"-";"1";"-";"-";"1";"1";"1";"-";"1";"1";"-";"-"
"Aperibé (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Araruama (RJ)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Areal (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Armação dos Búzios (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Arraial do Cabo (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
"Barra do Piraí (RJ)";"1";"1";"1";"1";"1";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Barra Mansa (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Belford Roxo (RJ)";"1";"1";"1";"-";"-";"1";"1";"-";"1";"1";"1";"1";"-";"-";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bom Jardim (RJ)";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-";"1";"1";"1";"1";"-";"1";"1";"-"
"Bom Jesus do Itabapoana (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-"
"Cabo Frio (RJ)";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"1";"-"
